filename, size_mb, disk_type, time_seconds
testfile_01.dat, 96.46132373809814, VDI, 0.13866662979125977
testfile_02.dat, 93.94302082061768, VDI, 0.12574458122253418
testfile_03.dat, 225.9543972015381, VDI, 0.5584113597869873
testfile_04.dat, 192.20265769958496, VDI, 0.233628511428833
testfile_05.dat, 163.20814037322998, VDI, 0.3574216365814209
testfile_06.dat, 145.59212017059326, VDI, 0.2555081844329834
testfile_07.dat, 203.25012397766113, VDI, 0.39943861961364746
testfile_08.dat, 195.02864456176758, VDI, 0.3790578842163086
testfile_09.dat, 152.82951736450195, VDI, 0.2556324005126953
testfile_10.dat, 74.78470611572266, VDI, 0.12999463081359863
testfile_11.dat, 40.07669544219971, VDI, 0.0800027847290039
testfile_12.dat, 155.71042156219482, VDI, 0.552403450012207
testfile_13.dat, 227.26813220977783, VDI, 0.402787446975708
testfile_14.dat, 245.50645637512207, VDI, 0.699152946472168
testfile_15.dat, 128.6926794052124, VDI, 0.20261669158935547
testfile_16.dat, 112.22576236724854, VDI, 0.2200021743774414
testfile_17.dat, 91.14315795898438, VDI, 0.19222593307495117
testfile_18.dat, 88.98638153076172, VDI, 0.15061378479003906
testfile_19.dat, 101.7352933883667, VDI, 0.4032161235809326
testfile_20.dat, 197.1591091156006, VDI, 0.40694570541381836
testfile_21.dat, 213.9148817062378, VDI, 0.40312814712524414
testfile_22.dat, 70.58118343353271, VDI, 0.1493370532989502
testfile_23.dat, 203.56045246124268, VDI, 0.40308570861816406
testfile_24.dat, 128.983323097229, VDI, 0.24163818359375
testfile_25.dat, 84.0492696762085, VDI, 0.16984963417053223
testfile_26.dat, 56.2665958404541, VDI, 0.11852407455444336
testfile_27.dat, 191.05257987976074, VDI, 0.6798245906829834
testfile_28.dat, 214.32921695709229, VDI, 0.4224412441253662
testfile_29.dat, 55.43635654449463, VDI, 0.37034153938293457
testfile_30.dat, 131.83966445922852, VDI, 0.26392459869384766
testfile_31.dat, 95.4024248123169, VDI, 0.20042967796325684
testfile_32.dat, 246.614333152771, VDI, 0.4997727870941162
testfile_33.dat, 200.08431148529053, VDI, 0.3968050479888916
testfile_34.dat, 232.305082321167, VDI, 0.496309757232666
testfile_35.dat, 149.6558609008789, VDI, 0.30939316749572754
testfile_36.dat, 101.8629789352417, VDI, 0.1623060703277588
testfile_37.dat, 136.67963409423828, VDI, 0.2382979393005371
testfile_38.dat, 49.29786682128906, VDI, 0.10444188117980957
testfile_39.dat, 187.36213779449463, VDI, 0.30460524559020996
testfile_40.dat, 49.9696741104126, VDI, 0.09132552146911621
testfile_41.dat, 194.35960578918457, VDI, 0.2977752685546875
testfile_42.dat, 144.87604904174805, VDI, 0.5603318214416504
testfile_43.dat, 53.255696296691895, VDI, 0.09531974792480469
testfile_44.dat, 245.71236896514893, VDI, 0.43129515647888184
testfile_45.dat, 78.96041774749756, VDI, 0.29741549491882324
testfile_46.dat, 108.87515640258789, VDI, 0.22479534149169922
testfile_47.dat, 83.2093734741211, VDI, 0.1520378589630127
testfile_48.dat, 148.31424617767334, VDI, 0.24015164375305176
testfile_49.dat, 234.95944213867188, VDI, 0.3616344928741455
testfile_50.dat, 116.62674903869629, VDI, 0.1948397159576416
